"","ï..REF_DATE","GEO","Sex","Selected.sites.of.cancer..ICD.O.3.","Cancer incidence (age-standardized rate per 100,000 population)"
"696","2007/2009","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",529.6
"697","2007/2009","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",513.3
"702","2007/2009","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.5
"704","2007/2009","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.7
"710","2007/2009","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",409.8
"713","2007/2009","Ontario by Local Health Integration Network","Both sexes","All invasive primary cancer sites (including in situ bladder)",504
"714","2007/2009","Oxford County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",499
"724","2007/2009","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.8
"725","2007/2009","Peterborough County-City Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",505.2
"740","2007/2009","Renfrew County and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",525.7
"742","2007/2009","Simcoe Muskoka District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",519.5
"743","2007/2009","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",518.6
"745","2007/2009","Sudbury and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",532.5
"747","2007/2009","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",570.2
"748","2007/2009","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",479.2
"749","2007/2009","Wellington-Dufferin-Guelph Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",502.4
"763","2008/2010","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",430.2
"764","2008/2010","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",498.3
"765","2008/2010","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",561
"766","2008/2010","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",489.8
"770","2008/2010","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",552
"772","2008/2010","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",562.6
"773","2008/2010","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",548.7
"774","2008/2010","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",555.9
"775","2008/2010","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",505.3
"776","2008/2010","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",524.7
"778","2008/2010","Middlesex-London Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",522.2
"779","2008/2010","Mississauga Halton Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",511.8
"781","2008/2010","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",547.4
"783","2008/2010","North West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",540.5
"785","2008/2010","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",442.2
"786","2008/2010","Oxford County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.1
"809","2008/2010","Renfrew County and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",509.5
"812","2008/2010","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",524.9
"816","2008/2010","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",553.1
"817","2008/2010","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",487.6
"819","2008/2010","Wellington-Dufferin-Guelph Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",527.2
"827","2009/2011","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",507
"829","2009/2011","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",437.5
"831","2009/2011","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",606.5
"832","2009/2011","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",507.3
"834","2009/2011","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",578.8
"836","2009/2011","Erie St. Clair Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",568
"840","2009/2011","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",561.4
"841","2009/2011","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",576.4
"842","2009/2011","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",568.1
"843","2009/2011","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",565
"844","2009/2011","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",598.5
"845","2009/2011","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",542
"849","2009/2011","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",569
"852","2009/2011","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",465.6
"858","2009/2011","Peterborough County-City Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",553.5
"859","2009/2011","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",561.2
"863","2009/2011","Simcoe Muskoka District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",571
"864","2009/2011","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",555
"865","2009/2011","South West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.7
"866","2009/2011","Sudbury and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",570.4
"870","2009/2011","Waterloo Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",544.9
"871","2009/2011","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",488.3
"882","2010/2012","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",513.7
"884","2010/2012","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",447.1
"885","2010/2012","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",619.3
"887","2010/2012","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",605.3
"889","2010/2012","Eastern Ontario Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",559.8
"891","2010/2012","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",585.8
"894","2010/2012","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",558.8
"895","2010/2012","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",574.1
"896","2010/2012","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",599.4
"898","2010/2012","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",542.1
"900","2010/2012","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",582.3
"901","2010/2012","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",604.9
"902","2010/2012","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",580.7
"903","2010/2012","North Bay Parry Sound District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",561.5
"904","2010/2012","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",583.3
"905","2010/2012","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",589.6
"906","2010/2012","North West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",550.9
"909","2010/2012","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",481.7
"913","2010/2012","Peterborough County-City Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",558.2
"914","2010/2012","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",565.7
"918","2010/2012","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",572.2
"923","2010/2012","Windsor-Essex County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",555.4
"925","2010/2012","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",494.6
"936","2011/2013","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",447.8
"937","2011/2013","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",594
"939","2011/2013","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",627.4
"942","2011/2013","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",584.2
"943","2011/2013","Erie St. Clair Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",570
"945","2011/2013","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",571.4
"946","2011/2013","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",566.8
"948","2011/2013","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",589
"949","2011/2013","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",543.3
"951","2011/2013","Mississauga Halton Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",518.1
"952","2011/2013","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",577.2
"960","2011/2013","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",570.7
"961","2011/2013","Sudbury and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",577.8
"963","2011/2013","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",571.5
"964","2011/2013","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",634.6
"965","2011/2013","Waterloo Wellington Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",521.7
"974","2012/2014","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",494.1
"976","2012/2014","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",441
"978","2012/2014","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",567.5
"979","2012/2014","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",614.1
"981","2012/2014","Erie St. Clair Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",558.5
"983","2012/2014","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",551.4
"985","2012/2014","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",550.6
"986","2012/2014","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",525.8
"989","2012/2014","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",563.1
"990","2012/2014","North West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",501.8
"992","2012/2014","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",396
"996","2012/2014","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",461.3
"1005","2012/2014","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",596.7
"1006","2012/2014","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",497.9
"1008","2012/2014","Windsor-Essex County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",556.6
"1018","2013/2015","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",431.4
"1019","2013/2015","City of Toronto Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",492.1
"1021","2013/2015","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.1
"1025","2013/2015","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",540.1
"1026","2013/2015","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",533
"1027","2013/2015","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",521
"1028","2013/2015","Halton Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",473.4
"1030","2013/2015","North West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",503.5
"1033","2013/2015","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",388.4
"1035","2013/2015","Ontario by Local Health Integration Network","Both sexes","All invasive primary cancer sites (including in situ bladder)",504.6
"1036","2013/2015","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",447.4
"1042","2013/2015","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",468.4
"1043","2013/2015","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",505
"1048","2013/2015","Simcoe Muskoka District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",536.2
"1051","2013/2015","Waterloo Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",489.1
"1052","2013/2015","Waterloo Wellington Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",488.1
